ITERACAO,TEMPO (s),DESLOCAMENTO (m)
206000,3.540388969528413,-.5431079411278836E-01
207000,3.557575323749425,-.5442578007086465E-01
208000,3.574761677970437,-.5449656961267139E-01
209000,3.591948032191449,-.5452035317151482E-01
210000,3.609134386412460,-.5449739738588628E-01
211000,3.626320740633472,-.5443091304259716E-01
212000,3.643507094854484,-.5432674397690972E-01
213000,3.660693449075495,-.5419290256408621E-01
214000,3.677879803296507,-.5403898601444544E-01
215000,3.695066157517519,-.5387551377615231E-01
216000,3.712252511738531,-.5371323000554440E-01
217000,3.729438865959542,-.5356241583939703E-01
218000,3.746625220180554,-.5343225424933704E-01
219000,3.763811574401566,-.5333028573148554E-01
220000,3.780997928622577,-.5326198628069429E-01
221000,3.798184282843589,-.5323049050893321E-01
222000,3.815370637064601,-.5323647294079355E-01
223000,3.832556991285613,-.5327819011293980E-01
224000,3.849743345506624,-.5335167577345881E-01
225000,3.866929699727636,-.5345107188582102E-01
226000,3.884116053948648,-.5356906993496720E-01
227000,3.901302408169659,-.5369743061916669E-01
228000,3.918488762390671,-.5382754590077324E-01
229000,3.935675116611683,-.5395100570287344E-01
230000,3.952861470832695,-.5406013240885894E-01
231000,3.970047825053706,-.5414844951817467E-01
232000,3.987234179274718,-.5421105622377136E-01
233000,4.004420533495730,-.5424488673500693E-01
234000,4.021606887716741,-.5424884143824635E-01
235000,4.038793241937753,-.5422378582095264E-01
236000,4.055979596158765,-.5417242195919025E-01
237000,4.073165950379776,-.5409904554704729E-01
238000,4.090352304600788,-.5400920852596122E-01
239000,4.107538658821800,-.5390931284586919E-01
240000,4.124725013042812,-.5380616446227041E-01
241000,4.141911367263823,-.5370651818235386E-01
242000,4.159097721484835,-.5361664338772476E-01
243000,4.176284075705847,-.5354193811391052E-01
244000,4.193470429926858,-.5348661468739430E-01
245000,4.210656784147870,-.5345347450025646E-01
246000,4.227843138368882,-.5344378296306041E-01
247000,4.245029492589894,-.5345724867197148E-01
248000,4.262215846810905,-.5349210388195400E-01
249000,4.279402201031917,-.5354527690369688E-01
250000,4.296588555252929,-.5361264149730845E-01
251000,4.313774909473940,-.5368932396962079E-01
252000,4.330961263694952,-.5377004582229956E-01
253000,4.348147617915964,-.5384947841483698E-01
254000,4.365333972136976,-.5392258638861780E-01
255000,4.382520326357987,-.5398493832550935E-01
256000,4.399706680578999,-.5403296611593137E-01
257000,4.416893034800011,-.5406415860286478E-01
258000,4.434079389021022,-.5407717989023653E-01
259000,4.451265743242034,-.5407190788044166E-01
260000,4.468452097463046,-.5404939388488852E-01
261000,4.485638451684058,-.5401174910639672E-01
262000,4.502824805905069,-.5396196816956643E-01
263000,4.520011160126082,-.5390370348223536E-01
264000,4.537197514347093,-.5384100668489215E-01
265000,4.554383868568104,-.5377805490415598E-01
266000,4.571570222789116,-.5371887975034426E-01
267000,4.588756577010128,-.5366711612070714E-01
268000,4.605942931231140,-.5362578594647683E-01
269000,4.623129285452151,-.5359712922924586E-01
270000,4.640315639673164,-.5358249124464513E-01
271000,4.657501993894175,-.5358227092934355E-01
272000,4.674688348115186,-.5359593141718433E-01
273000,4.691874702336198,-.5362206971372255E-01
274000,4.709061056557210,-.5365853889068897E-01
275000,4.726247410778222,-.5370261308367876E-01
276000,4.743433764999233,-.5375118325670050E-01
277000,4.760620119220246,-.5380097012278523E-01
278000,4.777806473441257,-.5384874006274261E-01
279000,4.794992827662268,-.5389151017077737E-01
280000,4.812179181883280,-.5392672972351292E-01
281000,4.829365536104292,-.5395242735707689E-01
282000,4.846551890325304,-.5396731577069703E-01
283000,4.863738244546315,-.5397084878103786E-01
284000,4.880924598767328,-.5396322881604754E-01
285000,4.898110952988339,-.5394536611724203E-01
286000,4.915297307209350,-.5391879403330340E-01
287000,4.932483661430362,-.5388554741231846E-01
288000,4.949670015651374,-.5384801325028458E-01
289000,4.966856369872386,-.5380876421574957E-01
290000,4.984042724093397,-.5377038637482075E-01
291000,5.001229078314410,-.5373531242857091E-01
292000,5.018415432535421,-.5370567100877952E-01
293000,5.035601786756432,-.5368316115390991E-01
294000,5.052788140977444,-.5366895913400938E-01
295000,5.069974495198456,-.5366366243699337E-01
296000,5.087160849419468,-.5366727314945442E-01
297000,5.104347203640479,-.5367922032684849E-01
298000,5.121533557861492,-.5369841844850951E-01
299000,5.138719912082503,-.5372335683108310E-01
300000,5.155906266303514,-.5375221303442057E-01
301000,5.173092620524526,-.5378298205007077E-01
302000,5.190278974745538,-.5381361232201733E-01
303000,5.207465328966550,-.5384213956220762E-01
304000,5.224651683187561,-.5386680981512261E-01
305000,5.241838037408574,-.5388618424838996E-01
306000,5.259024391629585,-.5389921963457962E-01
307000,5.276210745850596,-.5390532025839827E-01
308000,5.293397100071608,-.5390435902345726E-01
309000,5.310583454292620,-.5389666761559688E-01
310000,5.327769808513632,-.5388299753506077E-01
311000,5.344956162734643,-.5386445565344646E-01
312000,5.362142516955656,-.5384241943956347E-01
313000,5.379328871176667,-.5381843807470084E-01
314000,5.396515225397678,-.5379412636904557E-01
315000,5.413701579618690,-.5377105857366170E-01
316000,5.430887933839702,-.5375066889941334E-01
317000,5.448074288060714,-.5373416485671344E-01
318000,5.465260642281725,-.5372245847222465E-01
319000,5.482446996502738,-.5371611910776999E-01
320000,5.499633350723749,-.5371535003385119E-01
321000,5.516819704944760,-.5371998938338623E-01
322000,5.534006059165772,-.5372953445695804E-01
323000,5.551192413386784,-.5374318691773059E-01
324000,5.568378767607796,-.5375991519682343E-01
325000,5.585565121828807,-.5377852946031319E-01
326000,5.602751476049820,-.5379776385920268E-01
327000,5.619937830270831,-.5381636052629014E-01
328000,5.637124184491842,-.5383314988370059E-01
329000,5.654310538712854,-.5384712226881496E-01
330000,5.671496892933866,-.5385748662172106E-01
331000,5.688683247154878,-.5386371296366917E-01
332000,5.705869601375889,-.5386555658328358E-01
333000,5.723055955596902,-.5386306303643392E-01
334000,5.740242309817913,-.5385655437774420E-01
335000,5.757428664038924,-.5384659819157341E-01
336000,5.774615018259937,-.5383396205141650E-01
337000,5.791801372480948,-.5381955686270008E-01
338000,5.808987726701960,-.5380437312237467E-01
339000,5.826174080922971,-.5378941444206298E-01
340000,5.843360435143984,-.5377563269568107E-01
341000,5.860546789364995,-.5376386888448512E-01
342000,5.877733143586006,-.5375480329885835E-01
343000,5.894919497807019,-.5374891783220458E-01
344000,5.912105852028030,-.5374647240807930E-01
